"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Mnichov (Strakonice, 536563)";35,84;64,15
"Mnichovice (Benešov, 530191)";42,56;57,43
"Mnichovice (Praha-východ, 538493)";74,95;25,04
"Mnichovo Hradiště";61,67;38,32
"Mníšek";63,28;36,71
"Mníšek pod Brdy";74,38;25,61
"Močerady";45,16;54,83
"Močovice";41,55;58,44
"Modlany";49,53;50,46
"Modletice";73,33;26,66
"Modlíkov";63,72;36,27
"Modrá";63,27;36,72
"Modrá Hůrka";50;50
"Modrava";88,1;11,89
"Modřice";64,98;35,01
"Modřišice";72,65;27,34
"Modřovice";70,9;29,09
"Mohelnice nad Jizerou";61,81;38,18
"Mohelnice (Plzeň-jih, 558079)";58,53;41,46
"Mohelnice (Šumperk, 540471)";48,66;51,33
"Mohelno";52,27;47,72
"Mochov";60,82;39,17
"Mochtín";49,84;50,15
"Mojné";58,72;41,27
"Mokošín";62,13;37,86
"Mokrá-Horákov";64,55;35,44
"Mokré";44,68;55,31
"Mokré Lazce";53,09;46,9
"Mokrosuky";63,63;36,36
"Mokrouše";70;30
"Mokrovousy";57,14;42,85
"Mokrovraty";65,04;34,95
"Mokrý Lom";46,96;53,03
"Moldava";64,96;35,03
"Morašice (Chrudim, 571873)";57,73;42,26
"Morašice (Pardubice, 573035)";18,46;81,53
"Morašice (Svitavy, 578428)";56,9;43,09
"Morašice (Znojmo, 594474)";49,19;50,8
"Moravany (Brno-venkov, 583413)";67,93;32,06
"Moravany (Hodonín, 586391)";51,96;48,03
"Moravany (Pardubice, 575399)";53,93;46,06
"Moravec";57,44;42,55
"Moravecké Pavlovice";60,52;39,47
"Moraveč";70,17;29,82
"Moravice";42,06;57,93
"Moravičany";56,53;43,46
"Morávka";48,16;51,83
"Moravská Nová Ves";52,34;47,65
"Moravská Třebová";49,23;50,76
"Moravské Bránice";59,85;40,14
"Moravské Budějovice";55,94;44,05
"Moravské Knínice";69,2;30,79
"Moravské Málkovice";42,94;57,05
"Moravskoslezský Kočov";35,22;64,77
"Moravský Beroun";34,98;65,01
"Moravský Krumlov";52,81;47,18
"Moravský Písek";44,77;55,22
"Moravský Žižkov";62,79;37,2
"Morkovice-Slížany";46,01;53,98
"Morkůvky";65,18;34,81
"Mořice";38,4;61,59
"Mořina";76,68;23,31
"Mořinka";76,14;23,85
"Mořkov";52,8;47,19
"Most";41,74;58,25
"Mostek (Trutnov, 579556)";54,74;45,25
"Mostek (Ústí nad Orlicí, 580660)";60,38;39,61
"Mostkovice";50;50
"Mosty u Jablunkova";53,93;46,06
"Mošnov";43,42;56,57
"Mouchnice";36,36;63,63
"Mouřínov";41,73;58,26
"Moutnice";64,95;35,04
"Mrač";61,22;38,77
"Mrákotín (Chrudim, 554847)";49,02;50,97
"Mrákotín (Jihlava, 587541)";52,37;47,62
"Mrákov";54,38;45,61
"Mratín";69,71;30,28
"Mrlínek";36,57;63,42
"Mrsklesy";51,87;48,12
"Mrtník";55,35;44,64
"Mrzky";60,9;39,09
"Mříčná";69,5;30,49
"Mšec";56,23;43,76
"Mšecké Žehrovice";53,42;46,57
"Mšené-lázně";54,47;45,52
"Mšeno";59;40,99
"Mukařov (Mladá Boleslav, 571865)";57,93;42,06
"Mukařov (Praha-východ, 538523)";70,89;29,1
"Mutějovice";50,57;49,42
"Mutěnice (Hodonín, 586412)";58,21;41,78
"Mutěnice (Strakonice, 560278)";46,83;53,16
"Mutěnín";44,05;55,94
"Mutkov";56,25;43,75
"Mydlovary";56,21;43,78
"Myslejovice";53,58;46,41
"Mysletice";70;30
"Mysletín";72,3;27,69
"Mysliboř";76,27;23,72
"Myslibořice";47,05;52,94
"Myslín";50,87;49,12
"Myslinka";70,42;29,57
"Myslív";47,43;52,56
"Myslkovice";54,39;45,6
"Mysločovice";68,72;31,27
"Myslovice";42,52;57,47
"Myštěves";45,61;54,38
"Myštice";67,08;32,91
"Mýto";57,27;42,72
"Mžany";64,17;35,82
"Nabočany";35;65
"Načeradec";55,05;44,94
"Načešice";51,2;48,79
"Nadějkov";68,11;31,88
"Nadějov";63,63;36,36
"Nadryby";72,72;27,27
"Nahořany";59,34;40,65
"Nahošovice";27,77;72,22
"Náchod";60,35;39,64
"Náklo";50,96;49,03
"Nákří";52,8;47,2
"Naloučany";60,95;39,04
"Nalžovice";64,86;35,13
"Nalžovské Hory";47,77;52,22
"Náměšť na Hané";56,96;43,03
"Náměšť nad Oslavou";52,76;47,23
"Napajedla";52,46;47,53
"Nárameč";56,45;43,54
"Narysov";59,88;40,11
"Nasavrky (Chrudim, 571911)";53,04;46,95
"Nasavrky (Tábor, 559016)";54,38;45,61
"Nasavrky (Ústí nad Orlicí, 580678)";37,8;62,19
"Násedlovice";58,77;41,22
"Našiměřice";41,59;58,4
"Návojná";52,26;47,73
"Návsí";51,67;48,32
"Nebahovy";56,13;43,86
"Nebanice";39,71;60,28
"Nebílovy";51,12;48,87
"Nebovidy (Brno-venkov, 583456)";67,79;32,2
"Nebovidy (Kolín, 533521)";60,47;39,52
"Nebřehovice";52,68;47,31
"Nebužely";52,77;47,22
"Nečín";58,37;41,62
"Nečtiny";39,77;60,22
"Nedabyle";60,71;39,28
"Nedachlebice";54,05;45,94
"Nedakonice";56,1;43,89
"Nedašov";52,17;47,82
"Nedašova Lhota";47,13;52,86
"Neděliště";51,59;48,4
"Nedomice";68,23;31,76
"Nedrahovice";66,06;33,93
"Nedvědice";55,02;44,97
"Nedvězí";64,46;35,53
"Nehodiv";48,88;51,11
"Nehvizdy";73,95;26,04
"Nechanice";58,29;41,7
"Nechvalice";68,07;31,92
"Nechvalín";44,55;55,44
"Nejdek";48,43;51,56
"Nejepín";47,82;52,17
"Nekmíř";52;48
"Nekoř";66,94;33,05
"Nekvasovy";37,5;62,5
"Nelahozeves";68,32;31,67
"Nelepeč-Žernůvka";70,17;29,82
"Nelešovice";48,95;51,04
"Nemanice";34,95;65,04
"Němčany";61,18;38,81
"Němčice (Blansko, 582085)";46,46;53,53
"Němčice (Domažlice, 599166)";51,72;48,27
"Němčice (Kolín, 571636)";55,89;44,1
"Němčice (Kroměříž, 588784)";41,93;58,06
"Němčice (Mladá Boleslav, 536334)";58,62;41,37
"Němčice nad Hanou";41,24;58,75
"Němčice (Pardubice, 572870)";77,72;22,27
"Němčice (Prachatice, 550396)";58,87;41,12
"Němčice (Strakonice, 536474)";47,22;52,77
"Němčice (Svitavy, 580694)";59,45;40,54
"Němčičky (Brno-venkov, 583472)";60,51;39,48
"Němčičky (Břeclav, 584703)";60,78;39,21
"Němčičky (Znojmo, 594521)";49,09;50,9
"Němčovice";54,03;45,96
"Němětice";58,66;41,33
"Nemile";53,47;46,52
"Nemochovice";35,75;64,24
"Nemojany";55,85;44,14
"Nemojov";65,91;34,08
"Nemotice";42,17;57,82
"Nemyčeves";40,97;59,02
"Nemyslovice";35,48;64,51
"Nemyšl";63,22;36,77
"Nenačovice";56,75;43,24
"Nenkovice";57,4;42,59
"Neplachov";57,53;42,46
"Neplachovice";45,4;54,59
"Nepolisy";39,5;60,5
"Nepoměřice";40,74;59,25
"Nepomuk (Plzeň-jih, 558109)";54,77;45,22
"Nepomuk (Příbram, 564524)";50;50
"Nepomyšl";31,85;68,14
"Neprobylice";61,17;38,82
"Nepřevázka";63,49;36,5
"Neratov";59,4;40,59
"Neratovice";56,63;43,36
"Nerestce";57,74;42,25
"Neslovice";62,38;37,61
"Nesovice";50,34;49,65
"Nespeky";64,5;35,49
"Nestrašovice";38,29;61,7
"Nesuchyně";48,58;51,41
"Nesvačilka";55,49;44,5
"Nesvačily";56,25;43,75
"Netín";68,89;31,1
"Netolice";51,44;48,55
"Netřebice (Český Krumlov, 545643)";59,93;40,06
"Netřebice (Nymburk, 534919)";65,41;34,58
"Netunice";55,75;44,24
"Netvořice";56,77;43,22
"Neubuz";59,15;40,84
"Neuměř";54,34;45,65
"Neuměřice";53,84;46,15
"Neumětely";61,3;38,69
"Neurazy";48,29;51,7
"Neustupov";49,67;50,32
"Nevcehle";64,28;35,71
"Neveklov";60,13;39,86
"Neveklovice";72,72;27,27
"Nevězice";54,65;45,34
"Nevid";37,83;62,16
"Nevojice";44,09;55,9
"Nevolice";69,42;30,57
"Nevratice";50;50
"Nevřeň";66,87;33,12
"Nezabudice";66,66;33,33
"Nezabylice";43,79;56,2
"Nezamyslice (Klatovy, 578533)";25,56;74,43
"Nezamyslice (Prostějov, 589764)";47,31;52,68
"Nezbavětice";55,95;44,04
"Nezdenice";45,64;54,35
"Nezdice";49,2;50,79
"Nezdice na Šumavě";42,98;57,01
"Nezdřev";50;50
"Nezvěstice";56,08;43,91
"Nicov";50;50
"Nihošovice";50,82;49,17
"Níhov";74,37;25,62
"Nikolčice";60,3;39,69
"Niměřice";58,15;41,84
"Nimpšov";37,5;62,5
"Nišovice";64,56;35,43
"Nítkovice";40,86;59,13
"Niva";38,5;61,49
"Nivnice";59,21;40,78
"Nižbor";67,33;32,66
"Nížkov";61,25;38,75
"Nížkovice";59,57;40,42
"Nižní Lhoty";53,29;46,7
"Norberčany";21,32;78,67
"Nosálov";70;30
"Nosislav";59,62;40,37
"Nošovice";42,45;57,54
"Nová Buková";54,11;45,88
"Nová Bystřice";52,3;47,69
"Nová Cerekev";54,67;45,32
"Nová Dědina";41,76;58,23
"Nová Hradečná";47,09;52,9
"Nová Lhota";38,29;61,7
"Nová Olešná";67,56;32,43
"Nová Paka";60,9;39,09
"Nová Pec";58,7;41,29
"Nová Pláň";75,47;24,52
"Nová Role";52;48
"Nová Říše";65,72;34,27
"Nová Sídla";51,03;48,96
"Nová Telib";63,21;36,78
"Nová Včelnice";54,59;45,4
"Nová Ves (Brno-venkov, 583502)";45,53;54,46
"Nová Ves (České Budějovice, 535648)";59,62;40,37
"Nová Ves (Český Krumlov, 513661)";61,96;38,03
"Nová Ves (Domažlice, 599131)";45,56;54,43
"Nová Ves I";54,88;45,11
"Nová Ves (Liberec, 546593)";49,39;50,6
"Nová Ves (Louny, 542636)";22,95;77,04
"Nová Ves (Mělník, 535117)";53,26;46,73
"Nová Ves nad Lužnicí";51,28;48,71
"Nová Ves nad Nisou";61,02;38,97
"Nová Ves nad Popelkou";64,81;35,18
"Nová Ves (Plzeň-jih, 540269)";56,81;43,18
"Nová Ves pod Pleší";74,55;25,44
"Nová Ves (Praha-východ, 538558)";75,91;24,08
"Nová Ves (Rychnov nad Kněžnou, 576549)";64,42;35,57
"Nová Ves (Sokolov, 560561)";28,39;71,6
"Nová Ves (Strakonice, 560201)";50;50
"Nová Ves (Třebíč, 591246)";63,63;36,36
"Nová Ves u Bakova";52,12;47,87
"Nová Ves u Chotěboře";43,9;56,09
"Nová Ves u Chýnova";67,48;32,51
"Nová Ves u Jarošova";44,18;55,81
"Nová Ves u Leštiny";33,82;66,17
"Nová Ves u Mladé Vožice";62,74;37,25
"Nová Ves u Nového Města na Moravě";80,33;19,66
"Nová Ves u Světlé";64,68;35,31
"Nová Ves v Horách";49,09;50,9
"Nová Ves (Žďár nad Sázavou, 596213)";32,69;67,3
"Nové Bránice";60,09;39,9
"Nové Dvory (Kutná Hora, 534242)";60,41;39,58
"Nové Dvory (Litoměřice, 565342)";47,27;52,72
"Nové Dvory (Příbram, 540897)";76,6;23,39
"Nové Dvory (Žďár nad Sázavou, 587974)";66,35;33,64
"Nové Hamry";54,02;45,97
"Nové Heřminovy";33,33;66,66
"Nové Hrady (České Budějovice, 544868)";47,17;52,82
"Nové Hrady (Ústí nad Orlicí, 571920)";58,75;41,25
"Nové Hutě";74,11;25,88
"Nové Lublice";32,38;67,61
"Nové Město";47,1;52,89
"Nové Město na Moravě";63,9;36,09
"Nové Město nad Metují";65,68;34,31
"Nové Město pod Smrkem";37,45;62,54
"Nové Mitrovice";50,69;49,3
"Nové Sady (Vyškov, 593443)";38,33;61,66
"Nové Sady (Žďár nad Sázavou, 596248)";69,73;30,26
"Nové Sedlice";55,62;44,37
"Nové Sedlo (Louny, 566519)";25,88;74,11
"Nové Sedlo (Sokolov, 560570)";36,82;63,17
"Nové Strašecí";66;33,99
"Nové Syrovice";44,49;55,5
"Nové Veselí";72,08;27,91
"Noviny pod Ralskem";48,63;51,36
"Novosedlice";43,87;56,12
"Novosedly (Břeclav, 584746)";49,46;50,53
"Novosedly nad Nežárkou";54,16;45,83
"Novosedly (Strakonice, 551554)";42,25;57,74
"Nový Bor";55,17;44,82
"Nový Bydžov";50,06;49,93
"Nový Dům";55,88;44,11
"Nový Dvůr";41,17;58,82
"Nový Hrádek";70,35;29,64
"Nový Hrozenkov";61,13;38,86
"Nový Jáchymov";60,86;39,13
"Nový Jičín";52,62;47,37
"Nový Jimramov";58,49;41,5
"Nový Knín";60,85;39,14
"Nový Kostel";35,62;64,37
"Nový Kramolín";30,76;69,23
"Nový Malín";54,66;45,33
"Nový Oldřichov";43,72;56,27
"Nový Ples";55,81;44,18
"Nový Poddvorov";46,04;53,95
"Nový Přerov";39,26;60,73
"Nový Rychnov";57,75;42,24
"Nový Šaldorf-Sedlešovice";58,91;41,08
"Nový Telečkov";58,44;41,55
"Nový Vestec";76,2;23,79
"Nučice (Praha-východ, 533548)";53,53;46,46
"Nučice (Praha-západ, 531618)";80,08;19,91
"Nupaky";75;25
"Nýdek";49,16;50,83
"Nyklovice";73,73;26,26
"Nymburk";61,7;38,29
"Nýrov";62,41;37,58
"Nýrsko";52,67;47,32
"Nýřany";53,87;46,12
"Občov";59,68;40,31
"Obecnice";56,88;43,11
"Obědkovice";26,24;73,75
"Obědovice";59,89;40,1
"Obora (Blansko, 582115)";43,68;56,31
"Obora (Louny, 542580)";57,4;42,59
"Obora (Plzeň-sever, 559318)";61,15;38,84
"Obora (Tachov, 541443)";62,13;37,86
"Oborná";31,41;68,58
"Obory";57,81;42,18
"Obořiště";60,91;39,08
"Obrataň";56,44;43,55
"Obrnice";21,5;78,49
"Obrubce";52,85;47,14
"Obruby";51,89;48,1
"Obříství";62,57;37,42
"Obyčtov";57,81;42,18
"Obytce";46,45;53,54
"Ocmanice";38,25;61,74
"Očelice";59,18;40,81
"Očihov";25,61;74,38
"Odolena Voda";68,4;31,59
"Odrava";45,03;54,96
"Odrovice";25,92;74,07
"Odry";46,57;53,42
"Odřepsy";46,84;53,15
"Odunec";68,75;31,25
"Ohaře";54,28;45,71
"Ohařice";61,22;38,77
"Ohaveč";53,84;46,15
"Ohníč";48,27;51,72
"Ohnišov";61,9;38,09
"Ohnišťany";55,1;44,89
"Ohrazenice (Příbram, 540960)";57,75;42,24
"Ohrazenice (Semily, 577359)";66,47;33,52
"Ohrobec";77,75;22,24
"Ohrozim";57,19;42,8
"Ochoz";58,82;41,17
"Ochoz u Brna";68,15;31,84
"Ochoz u Tišnova";62,19;37,8
"Okarec";53,84;46,15
"Okna";41,71;58,28
"Okoř";87,93;12,06
"Okounov";49,04;50,95
"Okrouhlá (Blansko, 582131)";57,33;42,66
"Okrouhlá (Česká Lípa, 561894)";64,43;35,56
"Okrouhlá (Cheb, 538922)";49,67;50,32
"Okrouhlá (Písek, 529877)";60,86;39,13
"Okrouhlá Radouň";68,11;31,88
"Okrouhlice";60,19;39,8
"Okrouhlička";62,33;37,66
"Okrouhlo";73,28;26,71
"Okřesaneč";44,8;55,2
"Okřešice";58,33;41,66
"Okřínek";34,21;65,78
"Okříšky";56,07;43,92
"Olbramice (Olomouc, 552259)";42,85;57,14
"Olbramice (Ostrava-město, 554049)";59,35;40,64
"Olbramkostel";37,58;62,41
"Olbramov";63,82;36,17
"Olbramovice (Benešov, 530344)";49,34;50,65
"Olbramovice (Znojmo, 594563)";42,4;57,59
"Oldřichov (Přerov, 515825)";42,42;57,57
"Oldřichov (Tábor, 552798)";49,63;50,36
"Oldřichov v Hájích";57,14;42,85
"Oldřichovice";50,83;49,16
"Oldřiš";63,02;36,97
"Oldřišov";47,67;52,32
"Oleksovice";36,59;63,4
"Olešenka";79,04;20,95
"Oleška";49,61;50,38
"Oleško";61,66;38,33
"Olešná (Beroun, 531626)";56,98;43,01
"Olešná (Havlíčkův Brod, 569216)";56,87;43,12
"Olešná (Pelhřimov, 561967)";56,8;43,19
"Olešná (Písek, 562190)";42,5;57,5
"Olešná (Rakovník, 542199)";60,43;39,56
"Olešnice (Blansko, 582158)";61,23;38,76
"Olešnice (České Budějovice, 544884)";49,18;50,81
"Olešnice (Hradec Králové, 570524)";61,17;38,82
"Olešnice (Rychnov nad Kněžnou, 576581)";59,93;40,06
"Olešnice (Semily, 577367)";62,2;37,79
"Olešnice v Orlických horách";67,24;32,75
"Olešník";52,34;47,65
"Olomouc";62,88;37,11
"Olomučany";49,29;50,7
"Oloví";35,16;64,83
"Olovnice";63,07;36,92
"Olšany (Jihlava, 587613)";80,85;19,14
"Olšany (Klatovy, 541958)";45,73;54,26
"Olšany (Šumperk, 540510)";53,37;46,62
"Olšany u Prostějova";47,87;52,12
"Olšany (Vyškov, 550132)";62,36;37,63
"Olší (Brno-venkov, 596302)";64,59;35,4
"Olší (Jihlava, 587214)";78,57;21,42
"Olšovec";55,29;44,7
"Olšovice";64,86;35,13
"Omice";65,48;34,51
"Omlenice";43,09;56,9
"Ondratice";41,91;58,08
"Ondřejov (Pelhřimov, 537691)";71,02;28,97
"Ondřejov (Praha-východ, 538582)";74,55;25,44
"Onomyšl";46,98;53,01
"Onšov (Pelhřimov, 548502)";48,4;51,59
"Onšov (Znojmo, 594580)";34,09;65,9
"Opařany";53,68;46,31
"Opatov (Jihlava, 587621)";72,95;27,04
"Opatov (Svitavy, 578487)";48,58;51,41
"Opatov (Třebíč, 591319)";48,94;51,05
"Opatovec";58,04;41,95
"Opatovice (Brno-venkov, 583553)";54,9;45,09
"Opatovice I";67,27;32,72
"Opatovice nad Labem";65,82;34,17
"Opatovice (Přerov, 516201)";57,61;42,38
"Opava";53,78;46,21
"Oplany";60;40
"Oplocany";35,1;64,89
"Oplot";50,47;49,52
"Opočnice";41,61;58,38
"Opočno (Louny, 542555)";31,88;68,11
"Opočno (Rychnov nad Kněžnou, 576590)";61,05;38,94
"Opolany";54,26;45,73
"Oponešice";54,71;45,28
"Oprostovice";28,81;71,18
"Oráčov";31,49;68,5
"Orel";55,21;44,78
"Orlické Podhůří";63,02;36,97
"Orlické Záhoří";76,65;23,34
"Orličky";63,63;36,36
"Orlík nad Vltavou";59,01;40,98
"Orlová";31,85;68,14
"Orlovice";48,9;51,09
"Ořech";73,56;26,43
"Ořechov (Brno-venkov, 583561)";61,45;38,54
"Ořechov (Jihlava, 587630)";61,36;38,63
"Ořechov (Uherské Hradiště, 592447)";64,95;35,04
"Ořechov (Žďár nad Sázavou, 596329)";56,37;43,62
"Osečany";67,46;32,53
"Oseček";56,98;43,01
"Osečná";55,8;44,19
"Osečnice";50,27;49,72
"Osek (Beroun, 531634)";61,07;38,92
"Osek (Jičín, 573264)";59,16;40,83
"Osek nad Bečvou";50,32;49,67
"Osek (Písek, 598828)";82,27;17,72
"Osek (Rokycany, 560057)";51,92;48,07
"Osek (Strakonice, 551562)";47,16;52,83
"Osek (Teplice, 567779)";41,7;58,29
"Oselce";44,5;55,49
"Osice";54,16;45,83
"Osíčko";46,09;53,9
"Osičky";59,79;40,2
"Osík";64,74;35,25
"Osiky";58,24;41,75
"Oskava";43,09;56,9
"Oskořínek";50,44;49,55
"Oslavany";44,75;55,24
"Oslavice";66,51;33,48
"Oslavička";54,16;45,83
"Oslnovice";28,57;71,42
"Oslov";67,31;32,68
"Osoblaha";37,01;62,98
"Osov";66,17;33,82
"Osová Bítýška";56,98;43,01
"Osové";56,89;43,1
"Ostašov";47,82;52,17
"Ostopovice";68,12;31,87
"Ostrá";64,97;35,02
"Ostrata";57,34;42,65
"Ostrava";47,72;52,27
"Ostravice";55,18;44,81
"Ostrolovský Újezd";64,95;35,04
"Ostroměř";55,29;44,7
"Ostrov (Benešov, 599395)";57,14;42,85
"Ostrov (Havlíčkův Brod, 548359)";50;50
"Ostrov (Chrudim, 574104)";30,27;69,72
"Ostrov (Karlovy Vary, 555428)";48,43;51,56
"Ostrov nad Oslavou";67,33;32,66
"Ostrov (Příbram, 598372)";66,29;33,7
"Ostrov u Bezdružic";27,88;72,11
"Ostrov u Macochy";59,3;40,69
"Ostrov (Ústí nad Orlicí, 580732)";53,89;46,1
"Ostrovačice";63,95;36,04
"Ostrovánky";47,76;52,23
"Ostrovec";52,84;47,15
"Ostrovec-Lhotka";63,52;36,47
"Ostrožská Lhota";53,38;46,61
"Ostrožská Nová Ves";57,55;42,44
"Ostružná";81,39;18,6
"Ostružno";54,9;45,09
"Ostředek";67,93;32,06
"Ostřešany";61,85;38,14
"Ostřetice";52,17;47,82
"Ostřetín";51,21;48,78
"Osvětimany";42,23;57,76
"Osvračín";43,73;56,26
"Ošelín";26,66;73,33
"Otaslavice";47,39;52,6
"Otěšice";43,61;56,38
"Otice";51,13;48,86
"Otín (Jihlava, 587648)";51,61;48,38
"Otín (Žďár nad Sázavou, 596370)";58,97;41,02
"Otinoves";56,79;43,2
"Otmarov";67,93;32,06
"Otmíče";52,94;47,05
"Otnice";53,29;46,7
"Otov";36,53;63,46
"Otovice (Karlovy Vary, 537969)";63,03;36,96
"Otovice (Náchod, 574317)";45,97;54,02
"Otradov";52,29;47,7
"Otročín";39,47;60,52
"Otročiněves";58,78;41,21
"Otrokovice";51,64;48,35
"Otvice";49,32;50,67
"Otvovice";51,52;48,47
"Ouběnice";76,58;23,41
"Oucmanice";64,23;35,76
"Oudoleň";61,11;38,88
"Ovčáry (Kolín, 533572)";49,38;50,61
"Ovčáry (Mělník, 535141)";64,04;35,95
"Ovesná Lhota";34,04;65,95
"Ovesné Kladruby";69,44;30,55
"Oznice";55,27;44,72
"Paběnice";78,04;21,95
"Paceřice";60,98;39,01
"Pacetluky";40,57;59,42
"Pacov";61,9;38,09
"Pačejov";50,5;49,49
"Pačlavice";31,76;68,23
"Páleč";40,32;59,67
"Palkovice";55,5;44,49
"Palonín";32,87;67,12
"Pálovice";60,21;39,78
"Pamětice";67,28;32,71
"Panenská Rozsíčka";57,69;42,3
"Panenské Břežany";74,3;25,69
"Panenský Týnec";63,56;36,43
"Panoší Újezd";57,5;42,5
"Panské Dubenky";39,47;60,52
"Paračov";51,89;48,1
"Pardubice";63,16;36,83
"Paršovice";57,2;42,79
"Partutovice";58,78;41,21
"Pařezov";55,67;44,32
"Pasečnice";53,33;46,66
"Paseka";47,55;52,44
"Paseky";36,19;63,8
"Paseky nad Jizerou";79,59;20,4
"Paskov";50,5;49,49
"Pasohlávky";42,89;57,1
"Pastuchovice";49,09;50,9
"Pastviny";68,18;31,81
"Pašinka";57,56;42,43
"Pašovice";54,47;45,52
"Pátek";66,51;33,48
"Patokryje";43,7;56,29
"Pavlice";48,38;51,61
"Pavlíkov";48,19;51,8
"Pavlínov";55,69;44,3
"Pavlov (Břeclav, 584771)";55,01;44,98
"Pavlov (Havlíčkův Brod, 569241)";46,91;53,08
"Pavlov (Jihlava, 587681)";54,54;45,45
"Pavlov (Kladno, 532711)";57,14;42,85
"Pavlov (Pelhřimov, 561916)";56,79;43,2
"Pavlov (Šumperk, 540609)";39,15;60,84
"Pavlov (Žďár nad Sázavou, 596396)";61,42;38,57
"Pavlovice";61,64;38,35
"Pavlovice u Kojetína";43,16;56,83
"Pavlovice u Přerova";46,1;53,89
"Pazderna";49,18;50,81
"Pec";54,96;45,03
"Pec pod Sněžkou";90,47;9,52
"Pecka";60,93;39,06
"Peč";46,3;53,69
"Pečice";54,88;45,11
"Pěčice";50,37;49,62
"Pěčín";60,75;39,24
"Pečky";53,88;46,11
"Pěčnov";45,91;54,08
"Pelechy";61,81;38,18
"Pelhřimov";62,25;37,74
"Pěnčín (Jablonec nad Nisou, 563749)";61,55;38,44
"Pěnčín (Liberec, 564303)";68,75;31,25
"Pěnčín (Prostějov, 589870)";43,55;56,44
"Perálec";41,61;58,38
"Perná";61,05;38,94
"Pernarec";42,96;57,03
"Pernink";68,85;31,14
"Pernštejnské Jestřabí";70,94;29,05
"Perštejn";59,86;40,13
"Pertoltice (Kutná Hora, 534307)";39,17;60,82
"Pertoltice (Liberec, 564311)";31,09;68,9
"Pertoltice pod Ralskem";41,03;58,96
"Peruc";49,77;50,22
"Peřimov";63,87;36,12
"Pesvice";56,66;43,33
"Pětihosty";76,05;23,94
"Pětikozly";68,75;31,25
"Pětipsy";27,27;72,72
"Petkovy";57;43
"Petráveč";73,25;26,74
"Petrohrad";32,06;67,93
"Petroupim";69,54;30,45
"Petrov (Blansko, 582204)";63,52;36,47
"Petrov (Hodonín, 586480)";49,17;50,82
"Petrov nad Desnou";49,07;50,92
"Petrov (Praha-západ, 539546)";68,39;31,6
"Petrovice (Blansko, 582212)";59,43;40,56
"Petrovice (Bruntál, 551848)";44,44;55,55
"Petrovice (Hradec Králové, 570567)";38,7;61,29
"Petrovice I";44,5;55,49
"Petrovice II";70,4;29,59
"Petrovice (Příbram, 541044)";70,86;29,13
"Petrovice (Rakovník, 542229)";44,64;55,35
"Petrovice (Třebíč, 591360)";49,39;50,6
"Petrovice u Karviné";42,19;57,8
"Petrovice u Sušice";60,65;39,34
"Petrovice (Ústí nad Labem, 568147)";46,37;53,62
"Petrovice (Ústí nad Orlicí, 580767)";75,42;24,57
"Petrovice (Znojmo, 594610)";45,68;54,31
"Petrovičky";76,66;23,33
"Petrůvka";60,43;39,56
"Petrůvky";53,84;46,15
"Petříkov (České Budějovice, 535699)";66,66;33,33
"Petříkov (Praha-východ, 538612)";79,88;20,11
"Petřvald (Karviná, 599085)";38,01;61,98
"Petřvald (Nový Jičín, 599743)";54,75;45,24
"Pchery";51,05;48,94
"Pičín";49,44;50,55
"Pikárec";67,87;32,12
"Pila";50,45;49,54
"Pilníkov";51,68;48,31
"Písařov";38,81;61,18
"Písečná (Frýdek-Místek, 557226)";55,51;44,48
"Písečná (Jeseník, 540684)";46,46;53,53
"Písečná (Ústí nad Orlicí, 580775)";70,05;29,94
"Písečné (Jindřichův Hradec, 546917)";34,68;65,31
"Písečné (Žďár nad Sázavou, 596434)";62,4;37,6
"Písek (Frýdek-Místek, 512028)";50,4;49,59
"Písek (Hradec Králové, 570575)";46,75;53,24
"Písek (Písek, 549240)";59,77;40,22
"Písková Lhota (Mladá Boleslav, 536440)";61,33;38,66
"Písková Lhota (Nymburk, 537659)";60,54;39,45
"Pístina";51,47;48,52
"Písty";47,47;52,52
"Píšť (Opava, 509647)";42,98;57,01
"Píšť (Pelhřimov, 548545)";34;66
"Píšťany";34,1;65,89
"Pištín";60,73;39,26
"Pitín";52,47;47,52
"Pivín";51,92;48,07
"Pivkovice";53,06;46,93
"Planá (České Budějovice, 535176)";58,97;41,02
"Planá nad Lužnicí";65,25;34,74
"Planá (Tachov, 561134)";40,89;59,1
"Plaňany";50,26;49,73
"Plandry";67,21;32,78
"Pláně";55,9;44,09
"Plánice";47,33;52,66
"Plasy";56,67;43,32
"Plav";67,14;32,85
"Plaveč";44,32;55,67
"Plavsko";65,79;34,2
"Plavy";60,74;39,25
"Plazy";59,18;40,81
"Plenkovice";44,72;55,27
"Plesná";39,69;60,3
"Pleše";51,92;48,07
"Plešnice";58,55;41,44
"Pletený Újezd";67,79;32,2
"Plch";46,55;53,44
"Plchov";41,66;58,33
"Plchovice";45;55
"Plískov";70,93;29,06
"Ploskovice";51,77;48,22
"Pluhův Žďár";55,71;44,28
"Plumlov";57,41;42,58
"Plužná";56,25;43,75
"Plzeň";63,6;36,39
"Pnětluky";39,55;60,44
"Pňovany";41,85;58,14
"Pňovice";47,55;52,44
"Pňov-Předhradí";63,68;36,31
"Poběžovice";47,9;52,09
"Poběžovice u Holic";66,47;33,52
