"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Bohdalice-Pavlovice";45,27;54,72
"Bohdalín";47,86;52,13
"Bohdalov";54,83;45,16
"Bohdalovice";42,14;57,85
"Bohdaneč";39,11;60,88
"Bohdašín";69,17;30,82
"Bohdíkov";38,64;61,35
"Bohostice";50;50
"Bohumilice";54,02;45,97
"Bohumín";39,68;60,31
"Bohunice";64,51;35,48
"Bohuňov (Svitavy, 577812)";50;50
"Bohuňov (Žďár nad Sázavou, 595306)";54,26;45,73
"Bohuňovice (Olomouc, 500852)";55,7;44,29
"Bohuňovice (Svitavy, 577821)";56,06;43,93
"Bohuslavice (Jihlava, 586901)";74,07;25,92
"Bohuslavice nad Vláří";46,55;53,44
"Bohuslavice (Náchod, 573892)";63,16;36,83
"Bohuslavice (Opava, 506192)";55,16;44,83
"Bohuslavice (Prostějov, 589292)";46,61;53,38
"Bohuslavice (Šumperk, 525880)";51,08;48,91
"Bohuslavice u Zlína";52,79;47,2
"Bohuslávky";43,38;56,61
"Bohušice";56,32;43,67
"Bohušov";33,88;66,11
"Bohušovice nad Ohří";50,93;49,06
"Bohutice";41,48;58,51
"Bohutín (Příbram, 539953)";57;42,99
"Bohutín (Šumperk, 525979)";48,12;51,87
"Bohy";66,21;33,78
"Bochoř";44,91;55,08
"Bochov";42,38;57,61
"Bochovice";57,98;42,01
"Bojanov";61,2;38,79
"Bojanovice (Praha-západ, 539104)";69,05;30,94
"Bojanovice (Znojmo, 593796)";24,24;75,75
"Bojiště";57,86;42,13
"Bojkovice";45,03;54,96
"Bolatice";49,98;50,01
"Boleboř";49,04;50,95
"Bolehošť";60,23;39,76
"Boleradice";67,35;32,64
"Bolešiny";54,94;45,05
"Bolkov";32,25;67,74
"Boňkov";50;50
"Bor";38,27;61,72
"Bor u Skutče";61,29;38,7
"Borač";63,72;36,27
"Bordovice";56,91;43,08
"Boreč";37,09;62,9
"Borek (České Budějovice, 544272)";65,1;34,89
"Borek (Havlíčkův Brod, 568465)";53,75;46,25
"Borek (Jičín, 548979)";75;25
"Borek (Pardubice, 574783)";76,5;23,49
"Borek (Praha-východ, 534684)";77,83;22,16
"Borkovany";49,56;50,43
"Borkovice";62;38
"Borohrádek";52,03;47,96
"Borotice (Příbram, 539970)";64,22;35,77
"Borotice (Znojmo, 593800)";21,46;78,53
"Borotín (Blansko, 581356)";42,35;57,64
"Borotín (Tábor, 552101)";58,1;41,89
"Borová Lada";72,28;27,71
"Borová (Náchod, 573906)";73,61;26,38
"Borová (Svitavy, 577839)";60,93;39,06
"Borovany (České Budějovice, 544281)";54,58;45,41
"Borovany (Písek, 598780)";47,72;52,27
"Borovná";43,1;56,89
"Borovnice (Benešov, 532096)";49,09;50,9
"Borovnice (České Budějovice, 535681)";65,47;34,52
"Borovnice (Rychnov nad Kněžnou, 576140)";55,28;44,71
"Borovnice (Trutnov, 579092)";64,03;35,96
"Borovnice (Žďár nad Sázavou, 595322)";56,48;43,51
"Borovnička";61,38;38,61
"Borovník";62,31;37,68
"Borovno";44,28;55,71
"Borovy";63,04;36,95
"Boršice";59,7;40,29
"Boršice u Blatnice";48,78;51,21
"Boršov";60;40
"Boršov nad Vltavou";68,88;31,11
"Borušov";39,6;60,39
"Bory";55,22;44,77
"Bořanovice";65,17;34,82
"Bořenovice";45,6;54,4
"Bořetice (Břeclav, 584347)";62,27;37,72
"Bořetice (Pelhřimov, 561240)";68,96;31,03
"Bořetín (Jindřichův Hradec, 562742)";50;50
"Bořetín (Pelhřimov, 509418)";64,63;35,36
"Bořice";56,6;43,39
"Bořislav";52,17;47,82
"Bořitov";50,61;49,38
"Boseň";55,41;44,58
"Boskovice";57,09;42,9
"Boskovštejn";47,12;52,87
"Bošice";60,62;39,37
"Bošilec";57,77;42,22
"Bošín";58,69;41,3
"Bošovice";57,44;42,55
"Boudy";68,46;31,53
"Bousín";55,55;44,44
"Bousov";38,29;61,7
"Bouzov";50,73;49,26
"Bozkov";62,64;37,35
"Božanov";50,76;49,23
"Božejov";56,46;43,53
"Božetice";68,96;31,03
"Boží Dar";89,09;10,9
"Božice";42,85;57,14
"Božičany";34,88;65,11
"Bradáčov";35,48;64,51
"Brada-Rybníček";82,35;17,64
"Bradlec";74,77;25,22
"Bradlecká Lhota";66,03;33,96
"Brambory";35,61;64,38
"Braňany";26,57;73,42
"Brandov";45,08;54,91
"Brandýs nad Labem-Stará Boleslav";69,71;30,28
"Brandýs nad Orlicí";57,99;42
"Brandýsek";64,41;35,58
"Branice";53,44;46,55
"Braníškov";63,33;36,66
"Branišov";73,65;26,34
"Branišovice";54,91;45,08
"Branka u Opavy";47,71;52,28
"Brankovice";43;56,99
"Branky";52,39;47,6
"Branná";72,96;27,03
"Branov";41,26;58,73
"Bransouze";51,36;48,63
"Brantice";41,37;58,62
"Branžež";59;40,99
"Braškov";71,8;28,19
"Bratčice (Brno-venkov, 582883)";52,41;47,58
"Bratčice (Kutná Hora, 531286)";49,58;50,41
"Bratkovice";61,95;38,04
"Bratronice (Kladno, 532142)";65,28;34,71
"Bratronice (Strakonice, 537063)";71,42;28,57
"Bratrušov";47,23;52,76
"Bratřejov";66,18;33,81
"Bratřice";23,8;76,19
"Bratříkovice";34,04;65,95
"Bratřínov";74,24;25,75
"Bravantice";42,12;57,87
"Brázdim";64,4;35,59
"Bražec";20,37;79,62
"Brloh (Český Krumlov, 545431)";65,52;34,47
"Brloh (Pardubice, 574791)";53,02;46,97
"Brňany";41,47;58,52
"Brněnec";41,2;58,79
"Brníčko";45,86;54,13
"Brnířov";64,54;35,45
"Brniště";37,88;62,11
"Brno";68,24;31,75
"Brod nad Dyjí";47,44;52,55
"Brod nad Tichou";21,19;78,8
"Brodce";52,53;47,46
"Brodec";40,35;59,64
"Brodek u Konice";48,6;51,39
"Brodek u Prostějova";45,54;54,45
"Brodek u Přerova";48,94;51,05
"Brodeslavy";34,61;65,38
"Broumov (Náchod, 573922)";48,93;51,06
"Broumov (Tachov, 541401)";51,21;48,78
"Broumy";55,03;44,96
"Brozany nad Ohří";53,34;46,65
"Brtnice";56,67;43,32
"Brtnička";44,26;55,73
"Brťov-Jeneč";45,02;54,97
"Brumov";43,02;56,97
"Brumov-Bylnice";53,01;46,98
"Brumovice (Břeclav, 584363)";54,16;45,83
"Brumovice (Opava, 506320)";41,89;58,1
"Bruntál";38,85;61,14
"Brusné";45,85;54,14
"Brušperk";55,23;44,76
"Bruzovice";52,28;47,71
"Brzánky";59,18;40,81
"Brzice";59,57;40,42
"Brzkov";65,96;34,03
"Břasy";50,12;49,87
"Břeclav";51,62;48,37
"Břehov";70,37;29,62
"Břehy";48,81;51,18
"Břest";59,66;40,33
"Břestek";53,22;46,77
"Břevnice";58,33;41,66
"Březejc";55,44;44,55
"Březí (Břeclav, 584371)";52,27;47,72
"Březí nad Oslavou";59,55;40,44
"Březí (Praha-východ, 564869)";73,19;26,8
"Březí (Strakonice, 530018)";54,05;45,94
"Březí (Žďár nad Sázavou, 595357)";48,73;51,26
"Březina (Brno-venkov, 581429)";67,93;32,06
"Březina (Brno-venkov, 582891)";60,36;39,63
"Březina (Jičín, 549070)";68,88;31,11
"Březina (Jindřichův Hradec, 507733)";44,3;55,69
"Březina (Mladá Boleslav, 535567)";61,45;38,54
"Březina (Rokycany, 559733)";45,73;54,26
"Březina (Svitavy, 577871)";30;70
"Březinky";64,78;35,21
"Březiny";65,59;34,4
"Březnice (Příbram, 540013)";51,24;48,75
"Březnice (Tábor, 552135)";63,75;36,24
"Březnice (Zlín, 538744)";63,3;36,69
"Březník";51,35;48,64
"Březno (Chomutov, 563013)";39,35;60,64
"Březno (Mladá Boleslav, 535583)";63,46;36,53
"Březolupy";57,81;42,18
"Březová (Beroun, 531090)";65,71;34,28
"Březová (Karlovy Vary, 537870)";57,28;42,71
